,ener_tot,tdis_tot,idis_tot,cost_tot,emis_tot,episodes,scores,total_cost,energy_total_cost,tdisc_total_cost,day_no,DR_start_time,DR_end_time,r_episodes,,avg_cost_irl
0,0.159837608,1.357165506,0,0.011827983,0.041792174,1,-646.4900231,252.9611806,8.031200868,140.792,216,17.21804022,20.08571982,1,,
1,0.191314052,3.134964147,0,0.01415724,0.050022209,2,-736.4118228,265.3532072,9.613441134,191.748,206,16.50441977,18.88759578,2,,
2,0.255311932,5.385469681,0,0.018893083,0.066755508,3,-970.6477683,341.9466354,12.83063537,329.116,200,16.76932804,18.95534946,3,,
3,0.352842597,8.935504575,0,0.026110352,0.092256506,4,-1223.773264,354.1827453,17.74674529,336.436,199,17.36715905,20.19118956,4,,
10,0.190775803,1.785028768,0,0.014117409,0.049881475,5,-638.0624994,168.11869,9.590689988,158.528,216,16.82759833,19.5974173,16,,
0,0.267149576,9.163886692,0,0.042993746,0.069151779,6,-1453.764192,472.7724679,13.41402797,452.1866667,164,17.49260722,19.89080572,6,,
1,0.357798164,9.306872279,0,0.026477064,0.093552221,7,-1351.559616,469.8461523,17.99415232,451.852,199,17.05414277,19.5578245,7,,332.1687255
2,0.281923894,14.8869394,0,0.027400074,0.073516911,8,-1909.6869,756.7369178,14.18891781,742.548,159,16.85645562,19.4777646,8,,404.136688
3,0.286742344,9.550161109,0,0.021218933,0.074973507,9,-1149.922775,443.5987755,14.41477549,429.184,170,16.95931277,19.38585125,9,,429.6003406
4,0.278505787,10.10093697,0,0.02500267,0.072691036,10,-1258.710266,522.06866,14.01415703,497.0426667,193,16.55612681,19.34558427,10,,455.3320584
5,0.245691343,8.090840005,0,0.048766138,0.063342753,11,-1486.597096,435.8558266,12.40649324,423.4493333,184,16.56962026,18.81327191,11,,466.9996414
0,0.114559088,1.248819686,0,0.008477373,0.02995336,12,-406.6966515,124.7527875,5.753932784,114.768,209,16.52243661,18.75457085,26,,460.8045125
7,0.23925695,3.401015953,0,0.017705014,0.062557669,13,-890.5141516,240.3928628,12.02085248,224.488,209,16.76790987,18.96367612,13,,427.6074261
8,0.247606655,8.195106589,0,0.024821625,0.064548735,14,-1354.377543,361.2816355,12.56963552,348.712,221,16.8442148,19.64602136,14,,412.0982094
9,0.164110348,5.260505273,0,0.016843671,0.042762851,15,-1051.184432,299.9758628,8.27052943,291.7053333,253,17.2059656,19.22676999,15,,346.8466301
10,0.190775803,1.785028768,0,0.014117409,0.049881475,16,-638.0624994,168.11869,9.590689988,158.528,216,16.82759833,19.5974173,16,,307.4923322
11,0.213294118,4.276726072,0,0.015783765,0.055769259,17,-741.4048346,216.1058348,10.72038775,196.136,208,17.05188862,19.2487448,17,,263.7833571
12,0.199480574,4.362681092,0,0.014761562,0.05215748,18,-684.744425,184.9135811,10.02558109,174.888,221,16.89804858,19.06084167,18,,227.9344649
13,0.214324563,7.786629668,0,0.015860018,0.056038686,19,-871.0848724,343.2716974,10.77169745,332.5,177,17.15385348,19.52648402,19,,259.1514521
14,0.233828827,6.828017685,0,0.017303333,0.061138397,20,-928.3019737,352.61283,11.74875803,331.516,166,16.95094302,19.82743755,20,,275.1828759
15,0.183528644,5.588519511,0,0.01358112,0.047986586,21,-675.7961761,211.7219024,9.221902368,202.5,164,17.42057297,19.60941644,21,,253.8171998
16,0.173137867,6.038223858,0,0.012812202,0.045269746,22,-850.493937,270.0199323,8.703932312,261.316,156,17.41642906,19.96638197,22,,249.5377811
17,0.181838152,3.5424106,0,0.013456023,0.047544579,23,-667.5372686,216.136702,9.139235462,206.328,240,17.14693427,19.63592515,23,,256.3974971
18,0.119760873,4.057022956,0,0.008862305,0.031313452,24,-660.8259032,308.5783561,6.018356052,302.56,253,16.97883242,19.95468327,24,,269.6078573
19,0.206757506,3.464440389,0,0.015300055,0.054060154,25,-746.3340842,237.0294244,10.39397265,217.92,192,16.69175596,18.9485679,25,,277.0529778
0,0.114559088,1.248819686,0,0.008477373,0.02995336,26,-406.6966515,124.7527875,5.753932784,114.768,209,16.52243661,18.75457085,26,,245.8359907
1,0.11579976,4.687949798,0,0.008569182,0.030277754,27,-782.9850751,340.9362366,5.81623663,335.12,141,17.13497371,20.02587033,27,,244.1679059
2,0.176006629,2.403226024,0,0.013024491,0.046019831,28,-598.3750866,154.0382616,8.85026164,145.188,188,16.79233835,18.83395494,28,,235.9273858
3,0.216434604,7.484497395,0,0.016016161,0.056590391,29,-964.8314164,431.9079883,10.87598833,421.032,171,16.69216471,18.78916372,29,,259.0542509
4,0.188400656,3.886187055,0,0.013941649,0.049260454,30,-725.294579,226.8826041,9.466854818,205.996,232,17.10597489,19.68708603,30,,260.5893798
5,0.115199976,3.595111908,0,0.008524798,0.03012093,31,-640.0661184,285.7237046,5.787704648,279.936,141,16.83891611,19.31586661,31,,257.3244296
6,0.182051857,4.280993966,0,0.013471837,0.047600455,32,-658.1485179,209.7860535,9.150254376,198.504,149,17.16228357,20.02449443,32,,253.4325195
7,0.210446094,7.57453468,0,0.015573011,0.055024596,33,-871.3644811,353.0184896,10.57848962,342.44,165,17.31225006,19.59796765,33,,286.0419055
18,0.119760873,4.057022956,0,0.008862305,0.031313452,34,-660.8259032,308.5783561,6.018356052,302.56,253,16.97883242,19.95468327,24,,281.4193511
9,0.274995624,6.735994397,0,0.020349676,0.071902133,35,-1085.976329,408.2196069,13.83176984,382.676,214,16.68806405,18.97377401,35,,317.7309719
10,0.161082883,4.561455855,0,0.011920133,0.042117772,36,-684.9595209,269.8708818,8.095192192,255.648,169,16.99252294,19.17143746,36,,294.5828138
11,0.154877382,5.896473262,0,0.011460926,0.040495242,37,-670.7950977,289.4281272,7.782950706,277.512,212,16.97503529,19.74856692,37,,303.5178885
12,0.249240999,7.648917542,0,0.018443834,0.065168163,38,-984.6745008,370.70205,12.53005002,358.172,170,17.06681715,19.53900525,38,,315.6576522
13,0.215315927,5.409560361,0,0.015933379,0.056297894,39,-808.1506356,277.8271107,10.82292908,246.968,165,17.3761119,19.65241111,39,,325.3778032
0,0.20458676,6.40320257,0,0.01513942,0.053492577,40,-763.7336778,259.8826736,10.28267356,249.6,177,17.17365727,19.61967362,40,,312.0726866
1,0.224853969,7.439438533,0,0.016639194,0.058791772,41,-835.3598843,281.5110377,11.30303769,270.208,170,17.43478457,19.99128467,41,,308.2059268
2,0.087225367,4.021822205,0,0.006454677,0.022806508,42,-641.8369988,394.8661473,4.382147322,390.484,246,17.47693815,20.12473015,42,,306.2982898
3,0.13848172,1.730776365,0,0.010247647,0.036208326,43,-510.494235,169.4821793,6.959429708,152.024,216,17.08016442,19.56675037,43,,291.9570465
4,0.116262934,3.998550384,0,0.011709582,0.030299921,44,-811.2206388,283.0685296,5.871196228,277.1973333,141,17.0247936,19.23410965,44,,291.0485326
5,0.157909332,5.684557508,0,0.011685291,0.041287995,45,-693.4352577,304.4974757,7.937475688,296.56,240,17.10396075,19.87634763,45,,281.5907363
6,0.279466453,5.872061985,0,0.020680518,0.073071106,46,-1028.561801,340.0632809,14.0509902,315.056,214,17.09432076,19.22688837,46,,290.4816177
7,0.115186854,3.203094364,0,0.010983644,0.030039149,47,-924.6948919,241.8077921,5.929125456,235.8786667,141,17.40407141,20.16140594,47,,287.8994918
8,0.215398796,6.938148706,0,0.015939511,0.056319562,48,-852.7886584,314.4301942,10.82619424,303.604,207,17.29716387,19.66813139,48,,292.6022284
9,0.187769158,6.267194572,0,0.013894918,0.049095338,49,-759.8743133,297.4731377,9.436758686,279.112,177,17.09870322,19.58726535,49,,278.6889414
10,0.147352753,6.948017319,0,0.010904104,0.038527803,50,-732.9275613,365.3724629,7.404462896,357.968,212,16.98840428,19.20101625,50,,306.6732676
0,0.171329661,7.051366841,0,0.012678395,0.044796961,51,-891.7981813,457.1691734,8.60917344,448.56,232,16.5479232,19.20571982,51,,331.5447881
1,0.102952089,1.521560868,0,0.007618455,0.026918519,52,-385.39598,131.975006,5.171832988,123.76,209,16.8058326,19.30552339,52,,306.898721
2,0.162183454,7.716494967,0,0.012001576,0.042405534,53,-898.5806296,499.1751326,8.151132592,491.024,178,16.62135991,18.63001463,53,,329.6289856
3,0.178348952,3.00598398,0,0.013197822,0.04663227,54,-777.6642123,241.3049455,8.964945528,232.34,158,16.96056829,19.22659063,54,,329.5571503
4,0.165183346,4.160885821,0,0.012223568,0.043189905,55,-834.9648225,358.0922419,8.304241926,349.788,158,16.78173425,19.43580453,55,,335.7945857
5,0.158836622,4.326449085,0,0.01175391,0.04153045,56,-623.3474144,211.4616444,7.981644414,203.48,184,17.123678,19.39890216,56,,323.5072295
6,0.246492939,9.240435597,0,0.018240477,0.064449637,57,-1046.560105,439.1062287,12.39701789,416.628,204,17.25388318,20.19664997,57,,334.0406246
9,0.208263076,7.97913514,0,0.015411468,0.05445381,58,-919.1596797,406.2436498,10.46764981,395.776,207,17.15288627,19.65134624,60,,326.7655498
8,0.168535037,7.262183896,0,0.012471593,0.04406626,59,-911.6294757,431.5766704,8.468670376,423.108,156,16.67490131,18.85208275,59,,369.5657876
7,0.148335264,5.723171717,0,0.01097681,0.038784697,60,-681.6757185,305.0025035,7.454503478,297.548,184,16.78993434,19.52347009,58,,341.8268406
10,0.149490429,6.422941265,0,0.011062292,0.039086734,61,-720.8536569,352.6346437,7.514643672,345.12,240,17.1464728,19.83337873,61,,357.7310832
0,0.113272135,7.580699925,0,0.01549064,0.029390442,62,-831.131165,550.41425,5.728916634,544.6853333,149,16.99961441,19.7152546,62,,385.2056558
1,0.09924151,2.048654752,0,0.007343872,0.025948327,63,-438.7475958,185.2515576,4.984365572,177.168,209,16.8381861,19.30392811,63,,381.4613577
2,0.196499287,8.54589419,0,0.014540947,0.051377974,64,-1052.708048,568.9301444,9.873018448,550.588,166,16.70470405,19.05519606,64,,400.0076313
3,0.16436474,3.697273732,0,0.012162991,0.042975867,65,-623.3346329,209.6940934,8.259745856,192.852,184,17.03618623,19.32934591,65,,371.9291233
0,0.149181668,5.93937293,0,0.011039443,0.039006003,66,-769.2386184,401.8530737,7.497664178,385.964,192,16.84195344,19.84177129,66,,367.6828952
1,0.152111138,2.762212234,0,0.011256224,0.039771961,67,-568.7910119,194.1586185,7.64555905,173.988,192,17.17517303,19.3590994,67,,351.8480544
2,0.2347291,6.727531135,0,0.017369953,0.061373788,68,-951.0450099,372.6597802,11.8037802,360.856,186,17.40399556,19.97815691,68,,354.7087882
3,0.250166331,7.612286778,0,0.018512309,0.065410106,69,-1004.481081,388.0129816,12.58098161,375.432,204,17.38089932,19.39773415,69,,331.508607
4,0.256251421,7.005334295,0,0.018962605,0.067001153,70,-1021.705365,390.240861,12.8870307,358.968,204,17.26310979,19.64663765,70,,360.7927932
5,0.15368786,4.824430003,0,0.011372902,0.040184221,71,-698.2229447,298.4511183,7.72311834,290.728,184,16.7075894,18.94414382,71,,322.1529324
6,0.292871886,10.46502001,0,0.02167252,0.076576177,72,-1225.477664,503.6752766,14.73066097,478.924,199,17.41584249,20.39095065,72,,364.1502443
7,0.195612737,7.120354869,0,0.014475343,0.051146171,73,-896.0520619,414.2469759,9.832756858,395.048,170,16.94020135,19.66072916,73,,365.9208017
8,0.100162267,2.086572526,0,0.007412008,0.026189074,74,-395.7129253,149.1439954,5.031995354,144.112,209,17.32313818,19.89530445,74,,359.4901413
9,0.159265042,6.585239708,0,0.011785613,0.041642468,75,-763.69837,371.6250881,8.001495548,354.792,177,16.64061771,18.99951858,75,,359.3423281
10,0.261970832,9.928682287,0,0.019385842,0.068496587,76,-1083.118759,437.4842152,13.17621518,424.308,214,17.01816188,20.01778875,76,,366.4096472
11,0.126682552,3.339528682,0,0.009374509,0.033123239,77,-570.0114486,253.5048552,6.36485517,247.14,221,17.4332557,20.28781837,77,,346.8759321
12,0.2084243,8.26238306,0,0.015423398,0.054495965,78,-939.5860013,426.2835362,10.47553624,415.808,207,17.09048158,19.70219628,78,,365.1377061
13,0.104988903,6.500906673,0,0.007769179,0.027451077,79,-895.3811096,523.4620216,5.274021552,518.188,253,17.47867613,20.03751092,79,,367.9643839
14,0.165874383,5.081626691,0,0.012274704,0.043370589,80,-656.7467273,248.3695667,8.334227768,231.088,177,17.17839348,19.21010924,80,,344.2676112
10,0.190775803,1.785028768,0,0.014117409,0.049881475,81,-638.0624994,168.11869,9.590689988,158.528,216,16.82759833,19.5974173,16,,346.9782819
16,0.201600842,9.648083951,0,0.014918462,0.052711859,82,-1064.295279,558.9563494,10.13234943,548.824,207,16.75019236,19.50690884,82,,373.7398906
17,0.178087372,7.804827931,0,0.013178466,0.046563876,83,-804.8462367,366.2940447,8.950044734,357.344,200,17.20806851,19.91067159,83,,363.5698663
18,0.118806882,6.42227052,0,0.008791709,0.031064015,84,-771.0549989,478.4748338,5.970833772,472.504,221,17.20205685,19.64749357,84,,395.7084346
5,0.15368786,4.824430003,0,0.011372902,0.040184221,85,-698.2229447,298.4511183,7.72311834,290.728,184,16.7075894,18.94414382,71,,377.4466606
0,0.140464729,8.278654188,0,0.01039439,0.036726816,86,-777.6626849,431.7926678,7.058553932,418.568,193,16.64428707,19.41165651,86,,364.3510387
8,0.100162267,2.086572526,0,0.007412008,0.026189074,87,-395.7129253,149.1439954,5.031995354,144.112,209,17.32313818,19.89530445,87,,350.1759571
2,0.090503666,4.564355981,0,0.010380595,0.02354885,88,-783.9534757,403.5233688,4.56736884,398.956,246,17.12817358,19.9631244,88,,383.8051969
3,0.138513681,8.01650067,0,0.011504452,0.036178934,89,-853.0912105,448.8745654,6.951540488,441.044,176,17.04149821,19.67320577,89,,368.0792278
4,0.125125877,6.786688347,0,0.009259315,0.032716221,90,-663.2260851,315.4429586,6.287761886,307.072,176,17.24730861,19.68306961,90,,360.8147869
5,0.16271008,6.201993568,0,0.012040546,0.042543229,91,-779.0013595,320.9482904,8.180290398,312.768,156,17.14919297,19.41871438,91,,338.310995
6,0.108082256,3.629151784,0,0.009216595,0.028221073,92,-827.7808735,305.59958,5.499580018,300.1,141,17.33411962,20.11614552,92,,339.3322038
7,0.177606191,4.597319248,0,0.013142858,0.046438063,93,-684.8153614,247.433416,8.926162152,234.196,178,17.18857903,20.16497155,93,,312.9951678
8,0.091237594,4.030287432,0,0.006751582,0.023855571,94,-620.6076387,339.8582055,4.582775574,329.548,246,16.60405272,19.56747531,94,,340.240055
17,0.200132176,6.987594555,0,0.014809781,0.052327853,95,-869.4960326,376.7088807,10.05688065,366.652,166,16.99731099,19.16675667,103,,336.4094138
10,0.166334524,5.912214692,0,0.012308755,0.0434909,96,-785.5146608,281.3025172,8.358517234,272.944,156,17.30937052,19.35538788,96,,312.4705498
18,0.112348013,4.924999457,0,0.008313753,0.029375238,97,-611.6466663,334.9312533,5.647253326,329.284,149,17.15854651,19.68403162,104,,315.2545919
12,0.180984088,7.105728144,0,0.013392823,0.04732127,98,-798.2836768,352.5956735,9.095673536,343.5,200,17.1193484,19.6190424,98,,319.7756466
13,0.12370553,8.416040171,0,0.009154209,0.032344848,99,-775.5826275,431.192144,6.216143988,424.976,176,16.90551342,19.51873016,99,,337.7174415
14,0.171854903,5.740213194,0,0.012717263,0.044934294,100,-678.0022838,254.9144457,8.634445676,246.28,171,17.29256085,19.49556232,100,,338.78616
